CODE,TITLE,DATE
@,Annual for that Title,
',"Annual for that Year (e.g., ASM '96)",
4EX,4 (EARTH X),2000
1602,MARVEL 1602,2003
1602:FF,MARVEL 1602: FANTASTICK FOUR,2006
1602:NW,MARVEL 1602: NEW WORLD,2006
1602:SM,SPIDER-MAN 1602,2010
1602:WHANGELA,1602: WITCH HUNTER ANGELA,2015
1872,1872,2015
1985,1985,2008
2001,2001: A SPACE ODYSSEY,1976-1977
2099:MD,2099: MANIFEST DESTINY,1998
2099:WOT,2099: WORLD OF TOMORROW,1996-1997
2099AD,2099 A.D.,1995
2099AD:A,2099 A.D. APOCALYPSE,1995
2099AD:G,2099 A.D. GENESIS,1996
2099U,2099 UNLIMITED,1993-1995
A,AVENGERS,"1963-1996, 2004"
A2,AVENGERS VOL. 2,1996-1997
A3,AVENGERS VOL. 3,1998-2004
A4,AVENGERS VOL. 4,2010-2012
A5,AVENGERS VOL. 5,2013-2015
A6,AVENGERS VOL. 6,"2015, 2017"
A6 1.MU,AVENGERS VOL. 6 1.MU,2017
A7,AVENGERS VOL. 7,2018-
A&PPA,AVENGERS & POWER PACK ASSEMBLE!,2006
A&X:AXIS,AVENGERS & X-MEN: AXIS,2014-2015
A/INV,AVENGERS/INVADERS,2008-2009
A/SQS,AVENGERS/SQUADRON SUPREME,1998
A/TB,AVENGERS/THUNDERBOLTS,2004
A/ULTRAF,AVENGERS/ULTRAFORCE,1995
A:C,AVENGERS: CROSSING,1995
A:CC,AVENGERS: CHILDREN'S CRUSADE,2010-2012
A:CC-YA,AVENGERS: CHILDREN'S CRUSADE - YOUNG AVENGERS,2011
A:CE,AVENGERS: COLLECTORS EDITION,1993
A:CQ,AVENGERS: CELESTIAL QUEST,2001-2002
A:DV,"AVENGERS: DEATHTRAP, THE VAULT",1991
A:EMH,AVENGERS: EARTH'S MIGHTIEST HEROES,2005
A:EMH2,AVENGERS: EARTH'S MIGHTIEST HEROES VOL. 2,2007
A:EWART,AVENGERS: ENDLESS WARTIME,2013
A:EWIN,AVENGERS: ENEMY WITHIN,2013
A:FINALE,AVENGERS: FINALE,2005
A:I,AVENGERS: INITIATIVE,2007-2010
A:I SPEC,AVENGERS: INITIATIVE SPECIAL,2009
A:IFRPTL,AVENGERS: INITIATIVE FEATURING REPTIL,2009
A:KS,AVENGERS: KORVAC SAGA TPB,1991
A:MILLENNIUM,AVENGERS MILLENNIUM,2015
A:NRH,AVENGERS: NO ROAD HOME,2019
A:O,AVENGERS: ORIGIN,2010
A:ROU,AVENGERS: RAGE OF ULTRON GN,2015
A:T,AVENGERS: TIMESLIDE,1996
A:TO,AVENGERS: TERMINATRIX OBJECTIVE,1993
A:UFVR,AVENGERS: ULTRON FOREVER,2015
A:UI,AVENGERS: ULTRON IMPERATIVE,2001
A:XS,AVENGERS: X-SANCTION,2012
A-NXT,A-NEXT,1998-1999
A1959,AVENGERS 1959,2011-2012
AA,AMAZING ADVENTURES,1961
AA2,AMAZING ADVENTURES VOL. 2,1970-1976
AACAD,AVENGERS ACADEMY,2010-2013
AACADGS,AVENGERS ACADEMY GIANT-SIZE,2011
AAFSY,AMAZING ADULT FANTASY,1961-1962
AAI,AVENGERS A.I.,2013-2014
AANGEL,ARCHANGEL,1996
AARENA,AVENGERS ARENA,2013-2014
AASS,AVENGERS ASSEMBLE,2004-2007
AASS2,AVENGERS ASSEMBLE VOL. 2,2012-2014
AASS2 14AU,AVENGERS ASSEMBLE VOL. 2 14AU,2013
AASS2 15AU,AVENGERS ASSEMBLE VOL. 2 15AU,2013
ABMB:CMPLT,AVENGERS BY BRIAN MICHAEL BENDIS: THE COMPLETE COLLECTION,2017
ABOM,ABOMINATIONS,1996-1997
ABV.XB,A-BABIES VS. X-BABIES,2012
AC,AVENGERS CLASSIC,2007-2008
ACCUSED,THE ACCUSED,2016
ACO:BELIT,AGE OF CONAN: BÊLIT,2019
ACO:VALERIA,AGE OF CONAN: VALERIA,2019-2020
ACY&PHX,ADVENTURES OF CYCLOPS & PHOENIX,1994
ADAM:LBM,ADAM: LEGEND OF THE BLUE MARVEL,2009
ADREAM,AMERICAN DREAM,2008
AF,ALPHA FLIGHT,1983-1994
AF2,ALPHA FLIGHT VOL. 2,1997-1999
AF3,ALPHA FLIGHT VOL. 3,2004-2005
AF4,ALPHA FLIGHT VOL. 4,2011-2012
AF SPEC,ALPHA FLIGHT SPECIAL,1992
AF/INHS,ALPHA FLIGHT/INHUMANS,1998
AFOR,A-FORCE,2015
AFOR2,A-FORCE VOL. 2,2016
AFSY,AMAZING FANTASY,"1962, 1996"
AFSY2,AMAZING FANTASY VOL. 2,2004-2006
AFT,AVENGERS FAIRY TALES,2008
AFVR,AVENGERS FOREVER,1998-2000
AGENTX,AGENT X,2002-2003
AGEOH,AGE OF HEROES,2010
AHA,AMAZING HIGH ADVENTURE,1984-1986
AHWEENSPEC,AVENGERS HALLOWEEN SPECIAL,2018
AI,AVENGERS INFINITY,2000
AIF,ADVENTURES INTO FEAR,1970-1975
AIWW,ADVENTURES INTO WEIRD WORLDS,1952-1954
ALIAS,ALIAS,2001-2004
ALLSC,ALL SELECT COMICS,1943-1946
ALLSC70A,ALL SELECT COMICS 70TH ANNIVERSARY SPECIAL,2009
ALLTEENC,ALL TEEN COMICS,1947
ALLWC,ALL WINNERS COMICS,1941-1947
ALLWC2,ALL WINNERS COMICS VOL. 2,1948
ALLWC70A,ALL WINNERS COMICS 70TH ANNIVERSARY SPECIAL,2009
ALLWS:BH,ALL-WINNERS SQUAD: BAND OF HEROES,2011
ALPHA:BT,ALPHA: BIG TIME,2013
AMAZINGC,AMAZING COMICS,1944
AMAZON,AMAZON,1996
AMERICA,AMERICA,2017-2018
AMYSTERIES,AMAZING MYSTERIES,1949-1950
ANADA,ALL-NEW ALL-DIFFERENT AVENGERS,2016
ANADM/PO,ALL-NEW ALL-DIFFERENT MARVEL POINT ONE,2015
ANCA,ALL-NEW CAPTAIN AMERICA,2015
ANCA SPEC,ALL-NEW CAPTAIN AMERICA SPECIAL,2015
ANCA:FH,ALL-NEW CAPTAIN AMERICA: FEAR HIM,2015
ANEX,ALL-NEW EXILES,1995-1996
ANEXV.X,ALL-NEW EXILES VS. X-MEN,1995
ANGEL:REV,ANGEL: REVELATIONS,2008
ANGELA:AASSN,ANGELA: ASGARD'S ASSASSIN,2015
ANGELA:QHEL,ANGELA: QUEEN OF HEL,2015-2016
ANGELSOD,ANGELS OF DESTRUCTION,1996
ANGR,ALL-NEW GHOST RIDER,2014-2015
ANGOTG,ALL-NEW GUARDIANS OF THE GALAXY,2017
ANHAWK,ALL-NEW HAWKEYE,2015
ANHAWK2,ALL-NEW HAWKEYE VOL. 2,2016
ANINHS,ALL-NEW INHUMANS,2016
ANINV,ALL-NEW INVADERS,2014-2015
ANM/NPO,ALL-NEW MARVEL NOW! POINT ONE,2014
ANNEX,ANNEX,1994
ANNI,ANNIHILATION,2006-2007
ANNI:HGLCTS,ANNIHILATION: HERALDS OF GALACTUS,2007
ANNI:NO,ANNIHILATION: NOVA,2006
ANNI:PRO,ANNIHILATION: PROLOGUE,2006
ANNI:RO,ANNIHILATION: RONAN,2006
ANNI:SS,ANNIHILATION: SILVER SURFER,2006
ANNI:SUPSKR,ANNIHILATION: SUPER SKRULL,2006
ANNIC,ANNIHILATION CONQUEST,2008
ANNIC:PRO,ANNIHILATION CONQUEST: PROLOGUE,2008
ANNIC:Q,ANNIHILATION CONQUEST: QUASAR,2008
ANNIC:SLORD,ANNIHILATION CONQUEST: STAR-LORD,2008
ANNIC:WRAITH,ANNIHILATION CONQUEST: WRAITH,2008
ANNIS,ANNIHILATORS,2011
ANNIS:EF,ANNIHILATORS: EARTHFALL,2011-2012
ANNOAK,ANNIE OAKLEY,1948
ANO,ASSAULT ON NEW OLYMPUS,2010
ANSAVSH,ALL NEW SAVAGE SHE-HULK,2009
ANT,ANT-MAN,2015
ANT&WASP,ANT-MAN & WASP,2011
ANT&WASP2,ANT-MAN & THE WASP VOL. 2,2018
ANT&WASP:LL,ANT-MAN & WASP: LIVING LEGENDS,2018
ANT:LD,ANT-MAN: LAST DAYS,2015
ANTBC,ANT-MAN BIG CHRISTMAS,1999
ANULTS,ALL-NEW ULTIMATES,2014-2015
ANW,ALL-NEW WOLVERINE,2016-2018
ANX,ALL-NEW X-MEN,2013-
ANX2,ALL-NEW X-MEN VOL. 2,2016-2017
ANX2 1.MU,ALL-NEW X-MEN VOL. 2 1.MU,2017
ANX SPEC,ALL-NEW X-MEN SPECIAL,2013
ANXF,ALL-NEW X-FACTOR,2014-2015
ANXT,AVENGERS NEXT,2007
AOA,AGE OF APOCALYPSE,2005
AOA2,AGE OF APOCALYPSE VOL. 2,2012-2013
AOA3,AGE OF APOCALYPSE VOL. 3,2015
AOA:BL,AGE OF APOCALYPSE: BY THE LIGHT,1996
AOA:C,AGE OF APOCALYPSE: CHOSEN,1996
AOA:SB,AGE OF APOCALYPSE: SINISTER BLOODLINES,1997
AOASE,AGE OF APOCALYPSE SPECIAL EDITION,2005
AOATLAS,AGENTS OF ATLAS,2006-2007
AOATLAS2,AGENTS OF ATLAS VOL. 2,2009
AOD,ARMY OF DARKNESS,2005-2006
AOI:RIM,AGE OF INNOCENCE: REBIRTH OF IRON MAN,1996
AOSENTRY,AGE OF THE SENTRY,2008-2009
AOSHIELD,AGENTS OF S.H.I.E.L.D.,2016
AOU,AGE OF ULTRON,2013
AOU 10AI,AGE OF ULTRON 10AI,2013
AOUV.M/Z,AGE OF ULTRON VS. MARVEL ZOMBIES,2015
AOX:ALPHA,AGE OF X: ALPHA,2011
AOXM:A,AGE OF X-MAN: ALPHA,2019
AOXM:ANC,AGE OF X-MAN: THE AMAZING NIGHTCRAWLER,2019
AOXM:A&XTRCT,AGE OF X-MAN: APOCALYPSE & THE X-TRACTS,2019
AOXM:MARX,AGE OF X-MAN: MARVELOUS X-MEN,2019
AOXM:NXTGEN,AGE OF X-MAN: NEXTGEN,2019
AOXM:O,AGE OF X-MAN: OMEGA,2019
AOXM:PRSX,AGE OF X-MAN: PRISONER X,2019
